time;Bx;By;Bz;Btotal
31,119999885559082;0,21;14,51;-52,89;54,84
31,22099995613098;0,27;14,46;-52,63;54,58
31,32099986076355;0,18;14,56;-52,79;54,76
31,42199993133545;0,12;14,40;-52,87;54,79
31,519999980926514;0,14;14,42;-52,83;54,77
31,619999885559082;0,22;14,44;-52,63;54,58
31,72099995613098;0,25;14,48;-52,70;54,65
31,82099986076355;0,31;14,28;-52,78;54,68
31,919999837875366;0,24;14,60;-52,70;54,69
32,0220000743866;0,30;14,30;-52,27;54,19
32,121999979019165;0,18;14,46;-52,65;54,60
32,22099995613098;0,28;14,48;-52,62;54,57
32,3199999332428;0,18;14,49;-52,49;54,46
32,42199993133545;0,30;14,44;-52,33;54,28
32,5220000743866;0,25;14,37;-52,36;54,29
32,621999979019165;0,17;14,47;-52,45;54,41
32,72000002861023;0,25;14,45;-52,43;54,39
32,82099986076355;0,25;14,44;-52,36;54,32
32,92199993133545;0,16;14,62;-52,34;54,34
33,02300000190735;0,13;14,62;-52,31;54,31
33,12100005149841;0,19;14,53;-52,30;54,28
33,223000049591064;0,15;14,56;-52,24;54,23
33,32200002670288;0,13;14,57;-52,33;54,32
33,4229998588562;0,15;14,53;-52,34;54,32
33,520999908447266;0,27;14,37;-52,16;54,11
33,62299990653992;0,18;14,37;-52,36;54,30
33,723000049591064;0,09;14,56;-52,50;54,48
33,82200002670288;0,13;14,72;-52,61;54,64
33,92400002479553;0,22;14,83;-52,60;54,65
34,0239999294281;0,07;14,55;-52,75;54,72
34,12299990653992;0,11;14,66;-52,70;54,70
34,223000049591064;0,11;14,72;-52,82;54,83
34,32200002670288;0,07;14,78;-52,93;54,95
34,4229998588562;0,11;14,81;-52,79;54,83
34,5239999294281;0,15;14,63;-52,64;54,63
34,621999979019165;0,12;14,69;-52,64;54,65
34,723999977111816;0,26;14,77;-52,77;54,80
34,823999881744385;0,20;14,74;-52,91;54,93
34,92400002479553;0,29;14,61;-52,67;54,66
35,020999908447266;0,29;14,62;-52,77;54,76
35,12400007247925;0,21;14,60;-52,66;54,64
35,223999977111816;0,19;14,77;-52,85;54,88
35,323999881744385;0,08;14,73;-52,79;54,80
35,42400002479553;0,13;14,77;-52,66;54,70
35,5220000743866;0,22;14,59;-52,55;54,54
35,62299990653992;0,23;14,38;-52,41;54,35
35,723999977111816;0,12;14,49;-52,50;54,47
35,823999881744385;0,17;14,55;-52,59;54,56
35,9229998588562;0,19;14,37;-52,39;54,33
36,02499985694885;0,16;14,70;-52,45;54,47
36,12400007247925;0,16;14,50;-52,37;54,34
36,22499990463257;0,28;14,39;-52,56;54,50
36,325000047683716;0,21;14,38;-52,41;54,35
36,424999952316284;0,29;14,27;-52,24;54,16
36,526000022888184;0,20;14,52;-52,30;54,28
36,625;0,26;14,44;-52,57;54,52
36,72499990463257;0,19;14,53;-52,36;54,34
36,823999881744385;0,21;14,51;-52,41;54,38
36,925999879837036;0,19;14,64;-52,56;54,56
37,02499985694885;0,23;14,62;-52,37;54,37
37,12400007247925;0,20;14,76;-52,38;54,42
37,2260000705719;0,27;14,62;-52,19;54,20
37,32599997520447;0,20;14,58;-52,28;54,28
37,424999952316284;0,16;14,64;-52,40;54,41
37,5239999294281;0,22;14,46;-52,50;54,46
37,625;0,20;14,70;-52,41;54,43
37,7260000705719;0,17;14,80;-52,19;54,25
37,82599997520447;0,16;14,79;-52,39;54,43
37,925999879837036;0,17;14,74;-52,24;54,28
38,02499985694885;0,25;14,78;-52,25;54,30
38,126999855041504;0,25;14,66;-52,24;54,26
38,2260000705719;0,29;14,69;-52,31;54,33
38,32599997520447;0,28;14,54;-52,38;54,36
38,42799997329712;0,18;14,88;-52,59;54,65
38,526999950408936;0,25;14,63;-52,36;54,37
38,62599992752075;0,23;14,67;-52,52;54,53
38,7260000705719;0,22;14,65;-52,63;54,63
38,825000047683716;0,28;14,65;-52,30;54,31
38,924999952316284;0,32;14,63;-52,38;54,39
39,026999950408936;0,29;14,51;-52,18;54,16
39,125;0,18;14,58;-52,32;54,31
39,223999977111816;0,33;14,54;-52,31;54,29
39,32699990272522;0,27;14,66;-52,36;54,37
39,4229998588562;0,28;14,55;-52,35;54,33
39,526000022888184;0,25;14,48;-52,63;54,59
39,625;0,22;14,61;-52,41;54,41
39,7279999256134;0,24;14,49;-52,45;54,41
39,82800006866455;0,28;14,55;-52,62;54,60
39,92400002479553;0,30;14,48;-52,68;54,63
40,026000022888184;0,25;14,52;-52,61;54,58
40,12599992752075;0,22;14,63;-52,56;54,56
40,2260000705719;0,25;14,48;-52,55;54,51
40,32800006866455;0,18;14,72;-52,61;54,63
40,42799997329712;0,15;14,60;-52,56;54,55
40,526000022888184;0,23;14,78;-52,60;54,64
40,628000020980835;0,19;14,54;-52,82;54,78
40,7279999256134;0,16;14,79;-52,73;54,76
40,82699990272522;0,21;14,65;-52,57;54,58
40,924999952316284;0,19;14,57;-52,64;54,62
41,02499985694885;0,21;14,65;-52,55;54,56
41,12299990653992;0,11;14,82;-52,54;54,59
41,228999853134155;0,22;14,55;-52,59;54,57
41,3289999961853;0,14;14,69;-52,75;54,75
41,42799997329712;0,15;14,70;-52,86;54,87
41,526999950408936;0,18;14,63;-52,66;54,66
41,62899994850159;0,11;14,63;-52,42;54,42
41,728999853134155;0,20;14,70;-52,55;54,56
41,82599997520447;0,23;14,63;-52,32;54,33
41,92899990081787;0,14;14,68;-52,22;54,24
42,02799987792969;0,14;14,68;-52,49;54,51
42,12599992752075;0,27;14,51;-52,15;54,13
42,228999853134155;0,19;14,71;-52,48;54,50
42,32699990272522;0,30;14,54;-52,39;54,37
42,42700004577637;0,21;14,34;-52,12;54,06
42,526999950408936;0,35;14,22;-52,23;54,14
42,62899994850159;0,22;14,53;-52,27;54,26
42,728999853134155;0,15;14,50;-52,21;54,18
42,829999923706055;0,14;14,75;-52,17;54,22
42,9300000667572;0,09;14,64;-52,49;54,49
43,02999997138977;0,08;14,66;-52,54;54,55
43,12899994850159;0,20;14,61;-52,22;54,23
43,2279999256134;0,24;14,55;-52,42;54,40
43,3289999961853;0,16;14,70;-52,41;54,43
43,42899990081787;0,23;14,71;-52,35;54,38
43,52900004386902;0,31;14,64;-52,25;54,26
43,62899994850159;0,15;14,65;-52,51;54,52
43,730000019073486;0,09;14,72;-52,57;54,59
43,82800006866455;0,13;14,82;-52,54;54,59
43,92899990081787;0,11;14,78;-52,59;54,63
44,02900004386902;0,10;14,85;-52,71;54,77
44,128000020980835;0,21;14,72;-52,68;54,70
44,230000019073486;0,03;14,76;-52,59;54,62
44,3289999961853;0,12;14,80;-52,51;54,56
44,430999994277954;0,08;14,90;-52,40;54,48
44,52900004386902;0,10;15,05;-52,31;54,43
44,62899994850159;0,10;14,98;-52,35;54,45
44,7279999256134;0,09;14,84;-52,23;54,30
44,829999923706055;0,04;14,99;-52,43;54,54
44,931999921798706;0,07;14,84;-52,49;54,55
45,03099989891052;0,07;14,77;-52,45;54,49
45,12999987602234;0,13;14,86;-52,37;54,43
45,23099994659424;0,31;14,65;-51,90;53,92
45,33200001716614;0,15;14,77;-52,59;54,63
45,4300000667572;0,30;14,61;-52,19;54,20
45,53200006484985;0,20;14,80;-52,69;54,73
45,63100004196167;0,09;14,94;-52,60;54,68
45,73099994659424;0,13;14,93;-52,75;54,82
45,83200001716614;0,20;14,85;-52,66;54,71
45,931999921798706;0,15;14,88;-52,60;54,67
46,03099989891052;0,03;14,88;-52,50;54,57
46,12999987602234;0,15;14,76;-52,57;54,61
46,23300004005432;0,08;14,94;-52,60;54,68
46,33299994468689;0,07;14,93;-52,60;54,68
46,430999994277954;0,11;14,93;-52,54;54,62
46,532999992370605;0,07;14,81;-52,43;54,48
46,632999897003174;0,10;14,81;-52,48;54,53
46,73099994659424;0,06;14,85;-52,27;54,34
46,83099985122681;0,08;14,74;-52,60;54,63
46,93299984931946;0,17;14,74;-52,64;54,67
47,03200006484985;0,16;14,83;-52,64;54,69
47,13199996948242;0,03;14,99;-52,63;54,73
47,23300004005432;0,14;14,85;-52,63;54,69
47,33399987220764;0,16;14,70;-52,65;54,66
47,43299984931946;0,14;14,73;-52,67;54,69
47,53200006484985;0,14;14,76;-52,80;54,82
47,632999897003174;0,19;14,57;-52,58;54,56
47,73399996757507;0,17;14,56;-52,66;54,63
47,83200001716614;0,20;14,60;-52,66;54,64
47,93400001525879;0,22;14,61;-52,55;54,55
48,03399991989136;0,10;14,85;-52,54;54,59
48,132999897003174;0,23;14,76;-52,58;54,61
48,23300004005432;0,27;14,62;-52,74;54,73
48,33200001716614;0,17;14,64;-52,61;54,61
48,43299984931946;0,25;14,73;-52,63;54,66
48,532999992370605;0,25;14,78;-52,62;54,66
48,634000062942505;0,10;14,89;-52,59;54,66
48,73300004005432;0,20;14,84;-52,77;54,82
48,83299994468689;0,09;14,96;-52,61;54,69
48,93499994277954;0,12;14,81;-52,50;54,55
49,03499984741211;0,18;14,85;-52,60;54,65
49,132999897003174;0,25;14,86;-52,78;54,84
49,23300004005432;0,27;14,89;-52,66;54,72
49,33500003814697;0,21;14,91;-52,63;54,70
49,43499994277954;0,22;14,92;-52,62;54,69
49,532999992370605;0,19;14,84;-52,74;54,79
49,63499999046326;0,24;14,83;-52,65;54,69
49,734999895095825;0,16;15,02;-52,63;54,73
49,83299994468689;0,12;14,93;-52,54;54,62
49,93499994277954;0,22;14,98;-52,64;54,73
50,03499984741211;0,21;14,89;-52,73;54,79
50,134000062942505;0,27;14,73;-52,60;54,63
50,234999895095825;0,30;14,90;-52,54;54,61
50,33500003814697;0,30;14,92;-52,60;54,68
50,43400001525879;0,18;14,87;-52,59;54,65
50,53600001335144;0,25;14,72;-52,70;54,72
50,63499999046326;0,36;14,67;-52,58;54,59
50,734999895095825;0,24;14,92;-52,70;54,77
50,83500003814697;0,19;14,95;-52,57;54,66
50,93499994277954;0,25;14,92;-52,52;54,60
51,03399991989136;0,14;14,93;-52,56;54,64
51,13599991798401;0,25;14,89;-52,52;54,59
51,234999895095825;0,21;14,86;-52,54;54,60
51,33500003814697;0,19;14,88;-52,42;54,49
51,43499994277954;0,15;15,02;-52,67;54,77
51,53600001335144;0,23;14,95;-52,57;54,65
